SA1_CODE_2021,Tot_Tot,Negative_Nil_income_Tot,HI_1500_1749_Tot,HI_2000_2499_Tot
10201103403,229,0,13,24
10201103404,107,4,5,11
10201103405,145,0,3,15
10201103406,59,0,4,9
10201103408,116,0,3,9
10201103409,119,4,3,16
10201103410,156,3,13,24
10201103411,162,0,6,22
10201103412,183,0,10,30
10201103413,139,0,11,17
10201103414,210,6,9,16
10201103415,142,0,0,5
10201103416,204,7,14,14
10201103417,182,6,7,6
10201103418,369,13,6,3
10201103419,111,0,6,22
10201103420,93,0,4,9
10201103501,260,6,14,32
10201103502,136,8,10,17
10201103503,181,0,7,28
10201103504,162,4,10,27
10201103505,151,0,10,19
10201103506,195,0,10,25
10201103507,126,5,4,17
10201103508,178,0,5,18
10201103509,143,3,11,21
10201103510,168,0,17,21
10201103511,192,0,9,38
10201103512,117,5,0,14
10201103513,122,0,9,12
10201103514,135,0,7,21
10201103515,108,0,6,13
10201103516,86,3,3,4
10201103517,52,0,0,7
10201103601,75,3,0,10
10201103602,70,3,5,9
10201103603,186,0,10,21
10201103604,94,0,11,15
10201103605,127,3,12,18
10201103606,102,0,0,18
10201103607,65,0,3,4
10201103608,171,5,7,5
10201103609,131,5,3,14
10201103610,217,5,11,30
10201103611,130,0,9,22
10201103612,62,0,3,3
10201103613,129,0,12,11
10201103614,180,0,9,22
10201103615,88,0,3,11
10201103616,92,0,4,19
10201103617,128,0,7,13
10201103618,71,0,5,9
10201103619,176,4,11,21
10201103620,201,10,12,20
10201103621,213,3,4,24
10201103622,98,3,10,10
10201103701,273,6,7,31
10201103702,212,0,11,24
10201103703,278,4,16,23
10201103704,83,0,6,8
10201103705,182,0,9,16
10201103706,145,0,9,12
10201103707,181,0,4,19
10201103708,106,3,0,18
10201103709,254,11,19,24
10201103710,141,0,8,20
10201103711,128,6,5,15
10201103712,121,0,6,11
10201103713,246,3,9,22
10201103714,181,4,12,16
10201103801,168,6,11,17
10201103802,181,3,5,16
10201103803,134,4,14,18
10201103804,217,4,10,29
10201103805,112,0,3,12
10201103806,120,3,3,10
10201103807,150,3,11,18
10201103808,179,6,4,9
10201103809,202,3,11,21
10201103810,125,0,0,14
10201103811,167,10,10,23
10201103812,131,0,3,14
10201103813,185,6,11,30
10201103814,208,6,7,13
10201103815,124,0,10,9
10201103816,140,0,4,19
10201103817,119,0,6,13
10201103901,248,0,8,35
10201103902,141,8,4,18
10201103903,115,0,8,14
10201103904,207,4,8,18
10201103905,141,3,4,14
10201103906,198,5,6,19
10201103908,152,5,6,12
10201103909,286,7,19,32
10201103911,228,5,14,21
10201103912,221,3,11,22
10201103913,237,0,10,22
10201103914,123,0,4,20
10201103915,177,0,7,16
10201103916,198,5,12,19
10201103917,124,3,9,14
10201103918,181,0,5,24
10201103919,191,8,3,3
10201103921,236,0,15,26
10201103922,173,3,4,16
10201103923,107,0,3,4
10201103924,146,0,0,4
10201103925,152,0,3,16
10201103926,224,4,10,26
10201103927,169,0,9,23
10201103928,229,7,9,30
10201103929,146,5,10,16
10201103931,189,5,9,30
10201103932,161,9,8,14
10201103933,113,0,5,12
10201103934,75,0,10,7
10201103935,52,0,0,9
10201103936,95,0,0,7
10201104001,130,3,4,18
10201104002,163,3,8,14
10201104003,117,0,3,13
10201104004,191,5,15,18
10201104005,120,0,0,12
10201104006,247,6,12,18
10201104007,158,7,12,16
10201104008,0,0,0,0
10201104009,291,10,16,22
10201104010,231,4,8,14
10201104011,188,0,7,7
10201104012,124,0,5,8
10201104013,220,5,13,29
10201104014,133,0,8,9
10201104015,96,4,6,7
10201104016,229,0,18,27
10201104017,308,8,16,22
10201104018,191,3,18,23
10201104019,203,5,13,22
10201104020,196,5,7,19
10201104021,203,3,11,7
10201104022,104,6,4,9
10201104023,142,3,10,9
10201104024,268,5,10,33
10201104025,133,3,11,18
10201104026,310,7,14,27
